,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location
121,VVS Laxman,c & b Warne,16,16,3,0,100,1,335990,1,19,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
122,Shahid Afridi,c Jadeja b Pathan,10,4,1,1,250,1,335990,1,19,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
123,Andrew Symonds,not out,117,53,11,7,220.75,1,335990,1,164,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
124,Rohit Sharma,c Salunkhe b Warne,36,30,3,1,120,1,335990,1,41,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
125,Arjun Yadav,c †Kamran Akmal b Watson,16,9,3,0,177.78,1,335990,1,25,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
126,Kamran Akmal,c Bangar b Vaas,12,9,1,1,133.33,2,335990,1,15,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
127,Graeme Smith,c Kalyankrishna b Shahid Afridi,71,45,9,2,157.78,2,335990,1,84,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
128,Yusuf Pathan,c Symonds b Kalyankrishna,61,28,4,6,217.86,2,335990,1,83,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
129,Shane Watson,b Shahid Afridi,4,6,0,0,66.67,2,335990,1,4,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
130,Mohammad Kaif,c Symonds b Shahid Afridi,34,16,2,3,212.5,2,335990,1,48,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
131,Ravindra Jadeja,b Singh,1,3,0,0,33.33,2,335990,1,-5,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
132,Shane Warne,not out,22,9,2,2,244.44,2,335990,1,34,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
133,Dinesh Salunkhe,run out (Laxman/Singh),1,1,0,0,100,2,335990,1,1,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
134,Pankaj Singh,not out,4,3,0,0,133.33,2,335990,1,4,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
135,Karan Goel,run out (Bravo/†Ronchi),18,21,1,1,85.71,1,335991,1,21,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
136,Irfan Pathan,c Kulkarni b Nehra,6,3,0,0,200,1,335991,1,12,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
137,Kumar Sangakkara,c Kulkarni b Harbhajan Singh,94,56,13,1,167.86,1,335991,1,109,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
138,Yuvraj Singh,c Bravo b Pollock,18,9,1,1,200,1,335991,1,27,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
